text,acoustic,r,p,rho,p_rho,n
word_count,Pitch_Variance,0.21665414720537288,3.5159086890007688e-56,0.3091426683379561,2.461084237819337e-115,5190
word_count,Mean_Intensity_dB,-0.1435306784024302,2.7093662816808895e-25,-0.17777818419199717,4.094509549221347e-38,5190
word_count,HNR_dB,0.02994769133570633,0.03097097533737035,0.015952662103763008,0.25053435025313436,5190
word_count,Spectral_Centroid_Hz,-0.025436004007940737,0.06690571613794141,-0.004647616468306278,0.7378188574153647,5190
char_count,Duration_s,0.9790954750566258,0.0,0.9759257632198858,0.0,5190
char_count,Mean_Pitch_Hz,-0.019358235149644302,0.16319865355941815,-0.047794516096222275,0.0005724659809110159,5190
char_count,Pitch_Variance,0.22196896494733825,5.979110943737074e-59,0.3151643321771659,4.901749753963931e-120,5190
char_count,Mean_Intensity_dB,-0.1516848687501008,4.334329189745824e-28,-0.181237358425629,1.4396939841612104e-39,5190
char_count,HNR_dB,0.029988836847249446,0.030740874663899898,0.015380491297897302,0.2679332252765515,5190
char_count,Spectral_Centroid_Hz,-0.02866616621067851,0.03891496265419674,-0.00674557208145572,0.627073063402217,5190
emphatic_count,Duration_s,0.6536264268361154,0.0,0.5981732449410925,0.0,5190
emphatic_count,Mean_Pitch_Hz,-0.021075443303188064,0.12898599350784412,-0.025271910465085683,0.06868556917994947,5190
emphatic_count,Pitch_Variance,0.15167803877833758,4.358432138827491e-28,0.18361993475694544,1.379201101616827e-40,5190
emphatic_count,Mean_Intensity_dB,-0.10537374972492024,2.7268623229127306e-14,-0.11647417125111363,3.8416379449371996e-17,5190
emphatic_count,HNR_dB,0.02428653957499233,0.08020824244329738,0.021151617202502304,0.12760843985789708,5190
emphatic_count,Spectral_Centroid_Hz,-0.025153151386142693,0.06999781493267469,-0.010543581817569404,0.4476042096448628,5190
emphatic_count_full,Duration_s,0.7152671434081295,0.0,0.6579405999310297,0.0,5190
emphatic_count_full,Mean_Pitch_Hz,-0.02373976809730799,0.08725085839609278,-0.028017154480588707,0.043558761496611455,5190
emphatic_count_full,Pitch_Variance,0.1702817198373135,4.5917006249009373e-35,0.21338306894272477,1.6373011860362234e-54,5190
emphatic_count_full,Mean_Intensity_dB,-0.11541361879157812,7.399657573487119e-17,-0.12974772380757046,6.31065376389337e-21,5190
emphatic_count_full,HNR_dB,0.02554206414625948,0.06577565344581865,0.018824180952128896,0.1751250629269902,5190
emphatic_count_full,Spectral_Centroid_Hz,-0.03412402731685855,0.01395284195883814,-0.022127218254758226,0.11096009874703884,5190
ghunnah_count,Duration_s,0.6513234210472169,0.0,0.5740479640331057,0.0,5190
ghunnah_count,Mean_Pitch_Hz,-0.001657017780385413,0.905001534029135,-0.012178552754201792,0.38038655081714,5190
ghunnah_count,Pitch_Variance,0.13433051686173858,2.498827662600606e-22,0.16416306217436885,1.1203057028175545e-32,5190
ghunnah_count,Mean_Intensity_dB,-0.09473007162364869,8.016691874931899e-12,-0.11089742281849158,1.1282827393237943e-15,5190
ghunnah_count,HNR_dB,0.09791074430994787,1.5611881965072481e-12,0.10218657171488864,1.5919628904221484e-13,5190
ghunnah_count,Spectral_Centroid_Hz,-0.04881261915683509,0.00043515374083459145,-0.06043218293440405,1.3211785394761328e-05,5190
