source,family,T,EL,L
ctrl,poetry_islami,-2.280416,0.150000,-2.110424
ctrl,poetry_islami,-2.315977,0.083333,-2.407970
ctrl,poetry_islami,-2.577822,0.000000,-2.895748
ctrl,poetry_islami,-2.492283,0.095238,-2.452171
ctrl,poetry_islami,-2.324072,0.200000,-1.924739
ctrl,poetry_islami,-3.202365,0.000000,-3.228552
ctrl,poetry_islami,-2.641619,0.150000,-2.302901
ctrl,poetry_islami,-2.777566,0.100000,-2.584292
ctrl,poetry_islami,-1.548097,0.227273,-1.397269
ctrl,poetry_islami,-2.492027,0.150000,-2.223187
ctrl,poetry_islami,-2.828663,0.000000,-3.029415
ctrl,poetry_islami,-2.615460,0.058824,-2.669984
ctrl,poetry_islami,-2.014996,0.133333,-2.038637
ctrl,poetry_islami,-2.319958,0.150000,-2.131495
ctrl,poetry_islami,-1.749244,0.150000,-1.827375
ctrl,poetry_islami,-2.052168,0.066667,-2.337042
ctrl,poetry_islami,-2.099264,0.136364,-2.070878
ctrl,poetry_islami,-2.304450,0.047619,-2.551077
ctrl,poetry_islami,-2.692398,0.105263,-2.516913
ctrl,poetry_islami,-2.119550,0.181818,-1.891735
ctrl,poetry_islami,-2.031402,0.210526,-1.724793
ctrl,poetry_islami,-2.450263,0.000000,-2.827775
ctrl,poetry_islami,-2.434250,0.061224,-2.563387
ctrl,poetry_islami,-2.400701,0.085714,-2.443168
ctrl,poetry_islami,-2.802955,0.090909,-2.635811
ctrl,poetry_islami,-2.491064,0.000000,-2.849517
ctrl,poetry_islami,-3.139572,0.071429,-2.896595
ctrl,poetry_islami,-2.919486,0.000000,-3.077813
ctrl,poetry_islami,-2.264549,0.125000,-2.206443
ctrl,poetry_islami,-3.153175,0.105263,-2.762450
ctrl,poetry_islami,-2.076928,0.115385,-2.146646
ctrl,poetry_islami,-2.931470,0.100000,-2.666303
ctrl,poetry_islami,-2.709227,0.058824,-2.719950
ctrl,poetry_islami,-2.159213,0.095238,-2.274685
ctrl,poetry_islami,-2.450263,0.000000,-2.827775
ctrl,poetry_islami,-2.630639,0.200000,-2.088102
ctrl,poetry_islami,-3.013513,0.100000,-2.710022
ctrl,poetry_islami,-2.094597,0.122807,-2.125044
ctrl,poetry_islami,-2.259946,0.214286,-1.830869
ctrl,poetry_islami,-2.641269,0.081633,-2.588418
ctrl,poetry_islami,-2.481294,0.068966,-2.556107
ctrl,poetry_islami,-2.510102,0.216216,-1.956104
ctrl,poetry_islami,-3.025387,0.105263,-2.694355
ctrl,poetry_islami,-2.739968,0.029412,-2.859241
ctrl,poetry_islami,-3.115329,0.111111,-2.717845
ctrl,poetry_islami,-2.483415,0.000000,-2.845441
ctrl,poetry_islami,-2.174735,0.190476,-1.884961
ctrl,poetry_abbasi,-2.198236,0.131579,-2.143613
ctrl,poetry_abbasi,-2.550670,0.173913,-2.154505
ctrl,poetry_abbasi,-1.952148,0.176471,-1.824878
ctrl,poetry_abbasi,-2.620555,0.000000,-2.918519
ctrl,poetry_abbasi,-2.998035,0.043478,-2.937976
ctrl,poetry_abbasi,-1.596238,0.166667,-1.676192
ctrl,poetry_abbasi,-3.177762,0.078431,-2.887681
ctrl,poetry_abbasi,-1.892609,0.277778,-1.369793
ctrl,poetry_abbasi,-2.919486,0.066667,-2.799216
ctrl,poetry_abbasi,-3.189898,0.071429,-2.923412
ctrl,poetry_abbasi,-2.393280,0.071429,-2.498913
ctrl,poetry_abbasi,-2.785647,0.047619,-2.807495
ctrl,poetry_abbasi,-1.401159,0.200000,-1.432941
ctrl,poetry_abbasi,-2.592369,0.062500,-2.642315
ctrl,poetry_abbasi,-2.456585,0.107527,-2.381794
ctrl,poetry_abbasi,-2.421265,0.074074,-2.502770
ctrl,poetry_abbasi,-1.796939,0.166667,-1.783141
ctrl,poetry_abbasi,-2.053197,0.000000,-2.616187
ctrl,poetry_abbasi,-3.190919,0.052632,-3.002508
ctrl,poetry_abbasi,-2.655729,0.149425,-2.312821
ctrl,poetry_abbasi,-1.972804,0.050000,-2.364400
